Country Name,Country Code,Series Name,Series Code,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Australia,AUS,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,16.6402,16.1804,15.7206,15.2608,14.801,14.4212,14.0414,13.6616,13.2818,..
Australia,AUS,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,2.341765208,2.295077016,2.201174832,2.280410601,2.258752004,2.282509346,2.220048428,2.372696749,2.430579825,2.766645923
Australia,AUS,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,..,..,..,3.140243902,..,3.140243902,..,..,..
Australia,AUS,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,99.1,99.1,99.1,99.1,..,99.3,99.7,99.7,..,..
Australia,AUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,18.16087566,18.20018196,17.74084505,17.53887776,17.06614082,16.08347439,15.37013776,..,..,..
Australia,AUS,"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,..,62,..,..,67.8,..,..,..,66.9,..
Australia,AUS,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,159.6314765,151.0122791,154.0429924,151.4180321,150.1579391,155.5330742,164.7108995,175.9771021,182.7724021,177.1397757
Australia,AUS,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,10749.11055,10791.5931,10726.92818,10627.29387,10403.61702,10213.03945,10059.20745,..,..,..
Australia,AUS,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,5964.665776,5862.551944,5793.116026,5745.23219,5573.078304,5464.192602,5328.223992,5475.81765,..,..
Australia,AUS,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,20.18869866,23.03850745,19.8425192,21.47284119,21.51897381,19.98771744,21.07576502,20.01296407,19.25302663,21.27035363
Australia,AUS,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.984,1.971,1.928,1.926,1.917,1.851,1.821,1.809,1.809,..
Australia,AUS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,45160024271,28683266148,35210733743,65554890650,57550426823,53997299140,45978797620,37419460118,39968343168,45100492713
Australia,AUS,Forest area (sq. km),AG.LND.FRST.K2,1249830,1240970,1232110,1235190,1238270,1241350,1244430,1247510,..,..
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1.05258E+12,9.26448E+11,1.14426E+12,1.39428E+12,1.54341E+12,1.5737E+12,1.46496E+12,1.34903E+12,1.20804E+12,1.32342E+12
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.65776676,1.922727293,2.052942004,2.451105083,3.891940026,2.639482357,2.558337523,2.351136441,2.827310511,1.957575422
Australia,AUS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,42270,43980,46550,50230,60060,65870,64980,60360,54130,51360
